WAGNUM,OPERDATE,ST_ID_DISL,ST_ID_DEST,TRAIN_INDEX
5 266,2023-08-30 01:02:00,7 475,61,7475-335-62
5 266,2023-08-30 05:26:00,63,61,7475-335-62
5 266,2023-08-30 05:05:00,7 475,61,7475-335-62
5 266,2023-08-28 23:45:00,7 475,61,6999-471-7475
5 266,2023-08-28 22:29:00,7 469,61,6999-471-7475
5 266,2023-08-28 23:06:00,7 475,61,6999-471-7475
5 266,2023-08-27 16:02:00,20 714,61,20792-360-6999
5 266,2023-08-27 13:15:00,5 598,61,20792-360-6999
5 266,2023-08-27 07:27:00,5 631,61,20792-360-6999
5 266,2023-08-26 15:25:01,6 169,61,20792-360-6999
5 266,2023-08-26 15:25:00,6 169,61,20792-360-6999
5 266,2023-08-26 14:54:00,6 169,61,20792-360-6999
5 266,2023-08-26 10:05:00,6 628,61,20792-360-6999
5 266,2023-08-26 12:53:00,6 598,61,20792-360-6999
5 266,2023-08-26 11:31:00,6 614,61,20792-360-6999
5 266,2023-08-26 10:26:00,6 625,61,20792-360-6999
5 266,2023-08-26 02:37:00,6 663,61,20792-360-6999
5 266,2023-08-26 01:16:00,7 045,61,20792-360-6999
5 266,2023-08-26 00:33:00,7 052,61,20792-360-6999
5 266,2023-08-26 18:29:00,6 169,61,20792-360-6999
5 266,2023-08-26 14:40:00,6 169,61,20792-360-6999
5 266,2023-08-25 17:25:00,7 082,61,20792-360-6999
5 266,2023-08-25 17:10:00,7 082,61,20792-360-6999
5 266,2023-08-30 05:11:00,65,61,7475-335-62
5 266,2023-08-28 14:33:00,6 999,61,20792-360-6999
5 266,2023-08-28 12:52:00,6 999,61,20792-360-6999
5 266,2023-08-28 15:40:00,6 999,61,6999-471-7475
5 266,2023-08-28 14:55:00,6 999,61,6999-471-7475
5 266,2023-08-28 14:54:00,6 999,61,6999-471-7475
5 266,2023-08-28 14:34:00,6 999,61,6999-471-7475
5 266,2023-08-28 14:16:00,6 999,61,20792-360-6999
5 266,2023-08-28 21:47:00,7 464,61,6999-471-7475
5 266,2023-08-27 16:24:00,536,61,20792-360-6999
5 266,2023-08-27 22:56:00,6 999,61,20792-360-6999
5 266,2023-08-27 22:48:00,6 999,61,20792-360-6999
5 266,2023-08-27 15:31:00,4 598,61,20792-360-6999
5 266,2023-08-27 13:57:00,4 582,61,20792-360-6999
5 266,2023-08-27 07:54:00,5 627,61,20792-360-6999
5 266,2023-08-27 14:22:00,4 580,61,20792-360-6999
