START_CODE,END_CODE,LEN
2,805,32
6,2,27
8,6,27
12,8,29
15,12,19
16,15,10
24,16,33
29,24,28
30,29,0
31,24,6
33,"1,373",21
33,31,12
34,"1,350",32
40,34,48
44,40,46
48,44,39
49,44,3
56,53,5
65,56,26
68,"10,288",0
71,68,7
71,63,5
73,71,15
77,73,33
79,77,30
81,79,15
82,81,17
85,82,29
90,85,58
90,48,3
91,90,2
91,48,2
94,48,2
94,90,2
94,91,2
95,94,10
96,"1,663",11
97,91,33
97,99,31
102,99,35
105,102,33
107,105,36
109,107,34
112,109,36
114,112,32
117,52,0
117,53,6
118,"8,174",0
118,52,8
120,"7,468",13
121,"7,468",6
129,122,8
133,129,3
133,132,4
134,122,5
138,122,3
138,134,3
141,134,4
144,141,6
146,150,17
146,144,2
155,144,3
155,146,4
156,146,12
157,150,28
160,157,14
162,"7,469",10
169,162,47
175,169,35
179,175,22
187,"1,233",27
188,187,13
189,188,12
191,189,51
192,191,23
192,179,7
194,"1,462",25
196,194,14
197,196,28
199,197,38
199,179,28
203,"1,304",21
208,203,25
216,208,23
216,129,8
218,132,3
225,218,32
232,225,48
234,"7,470",6
235,"7,470",27
238,235,24
239,238,27
243,239,28
251,234,9
252,251,11
254,252,4
255,252,14
257,255,31
258,257,11
260,258,42
261,138,9
261,134,9
263,261,3
263,156,1
266,263,10
277,266,2
277,276,9
278,276,0
279,278,3
280,266,27
284,280,25
285,284,7
286,285,7
291,286,33
291,114,34
292,291,20
293,292,33
295,293,55
297,295,43
298,286,38
299,298,20
301,299,35
303,301,22
307,303,31
310,303,11
311,310,34
315,260,24
315,311,27
319,315,4
320,315,43
324,319,54
325,324,34
326,301,41
328,326,28
334,328,52
336,"7,471",8
336,"1,288",12
337,"7,471",4
340,337,3
340,"7,471",4
341,"7,471",5
341,337,4
343,337,18
344,341,10
346,344,8
352,346,27
355,352,13
361,355,50
364,"19,668",23
368,364,11
370,368,10
371,370,18
373,371,12
376,373,16
376,375,11
377,375,9
377,379,16
383,379,7
385,383,14
386,385,9
388,386,20
393,"7,472",22
393,394,13
394,"19,646",15
395,388,23
398,395,26
401,398,26
403,401,14
410,403,33
411,403,13
416,411,30
418,416,20
420,418,21
422,343,6
422,420,21
423,340,10
424,423,11
425,424,13
428,425,12
429,428,7
431,429,17
435,431,22
438,435,26
440,438,16
442,440,16
444,442,12
449,444,24
450,449,14
456,450,26
460,456,15
461,460,6
469,472,10
472,243,21
473,469,9
477,473,11
480,477,11
481,"7,473",3
481,480,0
482,"7,473",54
486,482,31
486,"10,396",0
494,488,14
496,490,6
496,495,3
497,496,5
500,490,23
502,500,15
504,502,10
507,502,12
510,507,8
511,507,12
515,511,10
519,515,8
520,"7,473",13
525,523,10
527,525,16
530,527,25
532,530,12
534,"7,474",34
534,320,48
535,532,8
536,535,5
541,536,15
543,541,7
546,543,9
548,361,30
554,"19,639",15
555,554,10
556,555,10
557,556,10
558,557,6
561,558,24
565,561,28
568,565,21
572,568,15
578,572,24
580,578,15
580,548,26
589,548,9
593,589,8
595,593,9
595,"21,727",30
602,548,35
609,602,36
611,609,10
614,611,14
617,614,16
626,617,33
628,626,10
633,628,24
637,633,19
638,637,10
640,638,14
642,640,21
645,642,17
647,645,15
647,460,24
651,617,11
654,651,23
656,654,11
659,656,21
663,659,22
667,663,20
671,667,19
675,671,16
679,675,14
680,"7,473",16
683,680,8
688,691,32
688,683,23
694,695,12
694,691,10
697,695,10
698,697,6
701,698,22
703,"7,475",7
705,703,14
707,705,23
707,"22,195",23
708,"7,475",4
712,"7,475",7
712,709,0
713,"8,163",0
713,711,6
714,713,11
715,714,10
719,715,34
722,719,24
725,722,24
726,725,10
727,726,5
732,727,20
733,727,22
736,733,33
738,736,22
740,738,18
741,740,11
746,741,43
748,746,12
752,748,36
753,752,7
754,753,9
761,754,26
767,761,35
768,767,9
769,768,9
771,769,10
776,771,38
782,776,35
783,782,12
784,"7,955",4
785,782,10
787,754,20
794,786,18
796,794,9
796,"14,524",33
805,"22,804",21
806,"19,961",35
813,806,20
817,813,30
817,805,5
822,"16,472",3
823,822,5
826,823,13
830,826,31
832,830,15
833,"17,939",0
833,"16,473",4
837,834,6
839,837,13
845,839,14
853,845,11
856,853,6
857,845,25
860,857,22
861,860,10
862,861,10
865,862,21
866,845,23
871,866,25
876,871,15
878,876,8
878,877,4
881,877,5
881,878,3
882,881,14
883,882,4
884,882,4
885,884,7
887,885,7
889,887,13
890,889,11
892,890,13
895,892,13
895,896,8
897,896,7
899,897,13
899,"19,549",11
900,899,2
901,899,11
903,901,17
905,903,29
906,905,13
906,"20,080",12
907,"20,067",17
910,907,16
912,910,17
914,912,23
915,914,11
916,915,9
918,916,24
923,918,32
925,923,14
927,925,8
929,927,18
931,899,18
931,929,22
933,"19,888",16
938,933,15
942,938,21
944,942,13
945,"18,598",12
945,944,6
949,944,6
951,945,14
953,951,12
957,953,20
960,957,18
962,960,9
963,960,6
966,963,14
969,966,9
971,834,8
971,969,2
973,949,17
977,973,26
980,977,22
984,980,24
985,899,16
985,984,11
985,897,9
988,834,11
990,988,9
996,990,25
"1,003",996,9
"1,005",996,24
"1,007","16,503",9
"1,007","1,005",12
"1,010",877,1
"1,010",878,3
"1,010",881,4
"1,013","1,010",27
"1,014","1,013",12
"1,016","1,014",13
"1,019","1,016",24
"1,026","1,019",31
"1,027","1,019",28
"1,031","1,027",28
"1,033","1,031",10
"1,034","1,033",10
"1,037","1,034",20
"1,041","1,037",19
"1,044","1,041",18
"1,050","16,570",6
"1,050","1,044",21
"1,056","1,052",4
"1,057","1,056",4
"1,061","1,057",10
"1,067","1,061",24
"1,070","1,067",10
"1,070",877,16
"1,073","1,057",4
"1,073","1,056",3
"1,075","1,073",5
"1,075","1,052",7
"1,078","1,075",18
"1,080","1,078",17
"1,081","1,080",11
"1,085","1,081",22
"1,086","1,085",8
"1,089","1,086",26
"1,091","1,089",13
"1,095","1,091",25
"1,097","1,095",12
"1,100","1,097",29
"1,103","1,085",5
"1,103","1,101",10
"1,104","1,103",10
"1,107","1,104",24
"1,111","1,107",31
"1,120","1,111",41
"1,121","7,466",7
"1,122","20,135",9
"1,124","1,122",11
"1,125","1,124",8
"1,130","1,125",26
"1,133",918,35
"1,133","1,130",26
"1,139","1,133",24
"1,147","1,052",14
"1,147","1,139",21
"1,151","19,667",24
"1,151","1,139",26
"1,156","1,139",31
"1,164","1,156",27
"1,168","1,164",26
"1,169","16,570",19
"1,173","1,169",20
"1,178","1,173",19
"1,181","1,178",23
"1,184","1,181",6
"1,193","1,184",45
"1,199","1,193",13
"1,200","1,193",13
"1,205","1,200",24
"1,208","1,205",20
"1,209","1,100",25
"1,213","1,209",22
"1,219","1,213",35
"1,219","1,184",5
"1,221","1,181",5
"1,223","1,221",14
"1,224","1,223",14
"1,228","1,224",29
"1,230","1,228",24
"1,232","1,230",16
"1,233","1,232",15
"1,236","1,121",13
"1,239","1,236",21
"1,242","1,239",11
"1,246","1,242",15
"1,254","1,246",15
"1,257","1,246",26
"1,257","1,208",7
"1,261","1,257",12
"1,266","1,257",11
"1,267","1,261",35
"1,272","1,267",9
"1,275","1,272",11
"1,278","1,275",21
"1,282","1,278",19
"1,287","1,282",12
"1,288","1,287",16
"1,291","1,266",16
"1,295","1,291",21
"1,298","1,295",27
"1,298","1,303",27
"1,304","1,303",5
"1,312","1,304",29
"1,313","1,312",15
"1,316","1,313",36
"1,322","1,303",29
"1,323","1,322",32
"1,329","1,323",30
"1,332","1,329",23
"1,334","1,332",24
"1,338","1,334",30
"1,340","1,338",21
"1,355","1,353",2
"1,356","1,355",3
"1,362","1,360",25
"1,371","1,362",3
"1,371","1,370",3
"1,372","1,371",7
"1,372","1,360",17
