ST_ID,LATITUDE,LONGITUDE
1,"54,099300","34,364900"
2,"54,133200","34,351500"
3,"54,191300","34,346200"
4,"54,080000","34,260800"
5,"54,060800","34,144400"
7,"54,032000","34,019900"
8,"54,012100","33,946500"
9,"53,995500","33,860400"
17,"53,750600","34,408100"
18,"53,719100","34,407500"
19,"53,698500","34,395100"
20,"53,676000","34,396400"
21,"53,786800","34,409600"
22,"53,831000","34,431300"
23,"53,865000","34,422500"
24,"53,888000","34,426500"
25,"53,930100","34,399600"
26,"53,969300","34,399300"
27,"53,988500","34,403600"
28,"54,019900","34,417100"
30,"54,232100","34,361700"
31,"54,292000","34,340100"
32,"54,310800","34,340400"
33,"54,167700","35,113700"
34,"54,190600","35,007700"
35,"54,184400","35,035700"
36,"54,199500","34,946900"
37,"54,221600","34,816100"
38,"54,208700","34,859900"
39,"54,203400","34,913000"
40,"54,236700","34,760500"
41,"54,263700","34,678600"
42,"54,308700","34,527900"
43,"54,334100","34,433500"
44,"54,353500","34,319200"
45,"54,365900","34,259900"
46,"54,415900","34,296600"
47,"54,484200","34,299300"
48,"54,438400","34,295100"
49,"54,387900","34,197400"
50,"54,413000","34,034000"
51,"54,514500","36,761400"
52,"54,492800","36,844300"
53,"54,501400","36,886000"
55,"54,568500","36,586400"
56,"54,596100","36,524300"
57,"54,607400","36,495100"
58,"54,605800","36,459300"
59,"54,600800","36,389000"
60,"54,584700","36,333800"
61,"54,555200","36,307400"
62,"54,533500","36,279100"
63,"54,565500","36,244500"
64,"54,612700","36,206400"
65,"54,619300","36,156800"
66,"54,635700","36,137600"
67,"54,677200","36,099800"
68,"54,649800","36,126900"
69,"54,690600","36,072500"
70,"54,690000","36,020700"
71,"54,695100","35,975000"
72,"54,728900","35,972100"
73,"54,773900","35,915200"
74,"54,818400","35,789800"
75,"54,846000","35,738000"
76,"54,892100","35,675400"
77,"54,930400","35,595200"
78,"54,950200","35,471500"
79,"54,950400","35,433800"
80,"54,967700","35,399000"
81,"54,988500","35,309700"
82,"55,005400","35,221300"
83,"55,018900","35,141900"
84,"55,058300","35,063900"
85,"55,082800","35,010100"
86,"55,135200","34,902400"
87,"55,139900","34,845200"
88,"55,149200","34,789300"
89,"55,163800","34,730800"
90,"55,181900","34,663400"
91,"55,177300","34,601700"
92,"55,169600","34,534300"
93,"55,169500","34,487000"
94,"55,170200","34,429500"
95,"55,669000","37,730500"
96,"55,685000","37,733900"
97,"55,707300","37,729500"
98,"55,734100","37,702000"
99,"54,886000","37,429600"
100,"54,960800","37,451100"
101,"54,996100","37,462000"
102,"54,923700","37,395300"
103,"55,041200","37,477500"
104,"55,093700","37,494900"
105,"55,149300","37,490100"
106,"55,181300","37,486800"
107,"55,224900","37,485600"
108,"55,248300","37,493600"
110,"55,312400","37,515700"
111,"55,218500","37,519300"
112,"55,178900","37,745000"
113,"55,357000","37,527000"
114,"55,384600","37,534100"
115,"55,403600","37,548500"
116,"55,431600","37,565400"
117,"56,165800","43,871900"
118,"56,187100","43,949700"
119,"56,199100","44,021000"
120,"56,209200","44,054700"
121,"56,222300","44,082100"
122,"56,237700","44,040300"
123,"56,187700","44,078900"
124,"56,172300","44,162200"
125,"56,156400","44,184800"
126,"56,137400","44,135700"
127,"56,251600","43,981100"
128,"58,517500","49,458700"
129,"58,530700","49,489400"
130,"58,552100","49,543000"
131,"58,567500","49,618200"
132,"58,606100","49,643800"
133,"58,530200","49,673200"
134,"58,606100","49,643800"
135,"58,621900","49,653700"
136,"58,462600","49,252500"
137,"58,487900","49,361400"
138,"58,470800","49,309500"
139,"58,645900","49,518900"
140,"58,621700","49,632200"
141,"58,718900","50,179700"
142,"58,674900","50,138600"
143,"58,675200","50,031100"
144,"58,639800","49,732600"
145,"58,731400","49,562100"
146,"58,785800","49,560400"
147,"58,838900","49,510900"
148,"59,772400","49,382000"
